Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],power,temp_diff,strain
0.755329491044703,0.9989135886031064,0.6042816241171917,-0.460607413938203,0.7183047640697756,-0.8439972598086245,0.852387247588261,-1.10084184309248,-0.6219445140062273
0.755329491044703,-1.5051940762914926,-1.1532598401403102,-0.7755739070376335,0.6384558330577823,0.382263078555401,0.4803633487001517,1.29965826336818,0.6461401437439833
0.755329491044703,0.4980920556241866,1.0774658644942483,-1.0076544809003718,0.5586069020457898,0.46086951050181285,0.18404107896420116,0.5995123989838421,0.6895443837072454
-0.7400023397787624,-0.5536331636315563,-0.13929361076096888,-0.7092651716482797,1.6265863543311931,-0.37235866813015317,1.89886071012366,0.8995749122914317,0.15124670180992447
-0.7400023397787624,-1.4551119229935894,-1.018064342889739,1.0700192279660468,-1.1282017655825582,-0.9068824053657539,-1.001687444421273,1.3996791011373386,-1.0169089132797688
2.2506613218681686,-0.8541260834188912,-0.7476733483885967,0.9208245733400008,-0.818787157911086,-1.5671764337156138,-0.5609051385594358,0.5995123989837853,-1.4355612474352215
0.755329491044703,0.347845595730505,0.6718793727424964,-1.5270729081169763,1.2273416992712292,-0.0579329403445056,0.5918162245403964,0.2994498856762525,0.4030196623811352
2.2506613218681686,-1.2047011565041295,-0.6800755997632919,-0.6982137157500541,0.019626617714838552,-0.8911611189764717,-0.3117108438348776,1.3996791011373386,-0.7987529620918691
0.755329491044703,1.9504745012630427,2.159029842498856,0.3793032343269449,0.05955108322083481,-0.45096510007656504,0.5166126324221353,-0.700758492015675,-0.3883984973411578
2.2506613218681686,-1.354947616397811,-0.9504665942644343,-0.5987506126660234,0.19928671249182206,0.02067349160190629,0.010489820799578865,1.29965826336818,0.09762969950236529
-0.7400023397787624,-0.5536331636315563,0.06349963511490707,-0.40535013444707485,0.24919229437431759,1.2469338299659318,0.2256222885784791,1.1996374255990214,1.292487432804752
-0.7400023397787624,-1.0544546966104762,-0.9504665942644343,0.8379386541033086,-1.0383717181940662,0.13072249632688293,-0.9707798520236227,0.6995332367530576,-0.3081857597619917
-0.7400023397787624,-0.4033867037378747,0.46908612686662055,0.0035537337872734807,-0.36963692096862694,1.0582783932945432,-0.39965832476165025,1.4996999389065542,0.726884796028581
-0.7400023397787624,-0.8040439301210163,-1.085662091515044,-0.1345894649405469,0.00964550133833931,1.1211635388516727,0.07391630188101182,-0.0006126276313370987,1.0195797279377046
0.755329491044703,0.19759913583682334,-0.13929361076096888,-0.6540078921571515,0.7183047640697756,-1.6929467248298729,0.6910623103341769,-0.6007376542464594,-1.5257739814765117
-0.7400023397787624,-0.6537974702273347,-0.0716958621357025,0.42903478586896027,-0.6990137613930969,1.4984744121944498,-0.6477979528261927,1.1996374255989646,0.8497570929834046
-0.7400023397787624,-1.1546190032062544,-0.8828688456391679,-1.6044330994045557,2.0358121257676562,0.5551972288375071,1.5082727249328876,0.9995957500605904,1.5370618143624473
-0.7400023397787624,-0.5536331636315563,-0.004098113510397719,0.13617120456598106,-0.6191648303811045,1.1840486844088023,-0.6964102735072359,1.0996165878298059,0.6676294978434414
-0.7400023397787624,-0.9542903900146694,-0.8828688456391679,0.1582741163624323,-0.7089948777695962,-1.535733860937049,-0.8210171863015525,0.5995123989837853,-1.4091073560850633
